country/region,year,month,avg_confirmed,avg_recovered,avg_deaths,benua,jenis_seasons,season
Armenia,2020,1,0.0,0.0,0.0,Europe,Four Seasons,Winter
Armenia,2020,2,0.0,0.0,0.0,Europe,Four Seasons,Winter
Armenia,2020,3,132.2258064516129,6.612903225806452,0.3870967741935484,Europe,Four Seasons,Spring
Armenia,2020,4,1217.0333333333333,403.8666666666667,17.566666666666666,Europe,Four Seasons,Spring
Armenia,2020,5,4885.322580645161,2049.7096774193546,64.90322580645162,Europe,Four Seasons,Spring
Armenia,2020,6,17365.566666666666,7414.833333333333,291.5,Europe,Four Seasons,Summer
Armenia,2020,7,33111.709677419356,21668.354838709678,603.258064516129,Europe,Four Seasons,Summer
Armenia,2020,8,41486.74193548387,34181.6129032258,819.1612903225806,Europe,Four Seasons,Summer
Armenia,2020,9,46611.96666666667,41728.333333333336,921.2333333333333,Europe,Four Seasons,Autumn
Armenia,2020,10,64916.6129032258,48093.06451612903,1088.516129032258,Europe,Four Seasons,Autumn
Armenia,2020,11,116017.13333333333,79841.86666666667,1769.1333333333334,Europe,Four Seasons,Autumn
Armenia,2020,12,149555.32258064515,127884.41935483871,2538.8709677419356,Europe,Four Seasons,Winter
Armenia,2021,1,163744.25806451612,151478.35483870967,2972.0,Europe,Four Seasons,Winter
Armenia,2021,2,169326.7142857143,160979.42857142858,3142.6785714285716,Europe,Four Seasons,Winter
Armenia,2021,3,180746.29032258064,167296.70967741936,3311.7096774193546,Europe,Four Seasons,Spring
Armenia,2021,4,205872.13333333333,185784.53333333333,3825.733333333333,Europe,Four Seasons,Spring
Armenia,2021,5,220386.67741935485,207506.87096774194,4306.967741935484,Europe,Four Seasons,Spring
Armenia,2021,6,223891.7,215391.33333333334,4484.633333333333,Europe,Four Seasons,Summer
Armenia,2021,7,227294.74193548388,218194.7741935484,4560.258064516129,Europe,Four Seasons,Summer
Armenia,2021,8,235430.8064516129,28414.387096774193,4710.451612903225,Europe,Four Seasons,Summer
Armenia,2021,9,251377.03333333333,0.0,5076.1,Europe,Four Seasons,Autumn
Armenia,2021,10,282266.5483870968,0.0,5768.548387096775,Europe,Four Seasons,Autumn
Armenia,2021,11,327795.2,0.0,7035.833333333333,Europe,Four Seasons,Autumn
Armenia,2021,12,342785.0967741936,0.0,7834.580645161291,Europe,Four Seasons,Winter
Armenia,2022,1,350408.2580645161,0.0,8015.032258064516,Europe,Four Seasons,Winter
Armenia,2022,2,403875.9285714286,0.0,8225.607142857143,Europe,Four Seasons,Winter
Armenia,2022,3,421906.22580645164,0.0,8573.41935483871,Europe,Four Seasons,Spring
Armenia,2022,4,422646.875,0.0,8619.25,Europe,Four Seasons,Spring
Australia,2020,1,0.475,0.05,0.0,Australia/Oceania,Four Seasons,Winter
Australia,2020,2,1.8577586206896552,0.8405172413793104,0.0,Australia/Oceania,Four Seasons,Winter
Australia,2020,3,143.86693548387098,9.30241935483871,0.7661290322580645,Australia/Oceania,Four Seasons,Spring
Australia,2020,4,784.1916666666667,381.1791666666667,7.570833333333334,Australia/Oceania,Four Seasons,Spring
Australia,2020,5,877.5201612903226,788.258064516129,12.383064516129032,Australia/Oceania,Four Seasons,Spring
Australia,2020,6,927.5458333333333,854.5833333333334,12.8125,Australia/Oceania,Four Seasons,Summer
Australia,2020,7,1458.5483870967741,1033.5846774193549,16.112903225806452,Australia/Oceania,Four Seasons,Summer
Australia,2020,8,2867.3024193548385,1538.850806451613,52.443548387096776,Australia/Oceania,Four Seasons,Summer
Australia,2020,9,3337.079166666667,2561.920833333333,101.97916666666667,Australia/Oceania,Four Seasons,Autumn
Australia,2020,10,3420.8225806451615,2741.5725806451615,112.6975806451613,Australia/Oceania,Four Seasons,Autumn
Australia,2020,11,3468.8083333333334,2790.6833333333334,113.38333333333334,Australia/Oceania,Four Seasons,Autumn
Australia,2020,12,3516.314516129032,2812.4112903225805,113.52016129032258,Australia/Oceania,Four Seasons,Winter
Australia,2021,1,3584.7258064516127,2835.3064516129034,113.625,Australia/Oceania,Four Seasons,Winter
